Year,Month,city,Crop,Min Price,Max Price,Modal Price
2024,1,Bagalkote,Amla (Indian Gooseberry),52.08,58.46,53.66
2024,1,Bagalkote,Banana,31,39.73,35.61
2024,1,Bagalkote,Beetroot,17.95,21.77,20.78
2024,1,Bagalkote,Bitter Gourd,17.46,20.81,20
2024,1,Bagalkote,Blackgram (Urad),33.58,38.94,38.55
2024,1,Bagalkote,Bottle Gourd,37.47,44.36,39.54
2024,1,Bagalkote,Brinjal (Eggplant),42.72,46.1,42.86
2024,1,Bagalkote,Cabbage,56.11,62.3,59.49
2024,1,Bagalkote,Capsicum (Bell Pepper),28.57,32.78,30.9
2024,1,Bagalkote,Carrot,28.32,33.36,31.23
2024,1,Bagalkote,Cauliflower,49.19,54.63,53.79
2024,1,Bagalkote,Chickpea (Bengal gram),26.87,32.13,30.99
2024,1,Bagalkote,Chilli,18.81,24.74,21.13
2024,1,Bagalkote,Coriander,42.44,46.73,43.69
2024,1,Bagalkote,Cotton,1.66,6.46,4.57
2024,1,Bagalkote,Cucumber,31.41,38.9,35.08
2024,1,Bagalkote,French Beans,34.49,36.54,34.72
2024,1,Bagalkote,Grapes,39.92,45.06,40.64
2024,1,Bagalkote,Green Peas,20.95,24.5,21.44
2024,1,Bagalkote,Greengram (Moong),28.17,32.58,30.82
2024,1,Bagalkote,Groundnut,46.96,48.88,48.48
2024,1,Bagalkote,Guava,38.87,41.61,40.19
2024,1,Bagalkote,Jackfruit,22.03,23.57,22.15
2024,1,Bagalkote,Maize,26.18,32.05,30.8
2024,1,Bagalkote,Mango,40.85,46.08,45.61
2024,1,Bagalkote,Muskmelon,38.56,44.52,42.37
2024,1,Bagalkote,Mustard,30.13,39.23,35.1
2024,1,Bagalkote,Okra (Bhindi),41.33,48.54,43.81
2024,1,Bagalkote,Onion,30.68,39.18,34.6
2024,1,Bagalkote,Papaya,30.02,35.76,31.37
2024,1,Bagalkote,Pearl Millet (Bajra),23.4,30.56,27.22
2024,1,Bagalkote,Pigeonpea (Tur),25.03,33.99,29.24
2024,1,Bagalkote,Pomegranate,31.3,35.76,33.44
2024,1,Bagalkote,Potato,50.08,54.86,54.26
2024,1,Bagalkote,Pumpkin,42.85,46.15,44.95
2024,1,Bagalkote,Ragi (Finger Millet),17.18,23,21.21
2024,1,Bagalkote,Rice (Paddy),24.79,32.42,29.77
2024,1,Bagalkote,Ridge Gourd,26.77,28.98,27.02
2024,1,Bagalkote,Sapota (Chikoo),45.6,54.06,49.29
2024,1,Bagalkote,Sesame,46.7,52.36,49.03
2024,1,Bagalkote,Sorghum (Jowar),35.95,38.07,38.05
2024,1,Bagalkote,Soybean,24.97,26.83,25.07
2024,1,Bagalkote,Spinach,20.52,28.89,23.91
2024,1,Bagalkote,Sugarcane,4.04,7.37,4.91
2024,1,Bagalkote,Sunflower,34.11,37.21,35.93
2024,1,Bagalkote,Tomato,29.28,31.01,30.52
2024,1,Bagalkote,Tomato (Hybrid High-Demand),41.19,46.2,44.75
2024,1,Bagalkote,Watermelon,42.3,44.29,42.81
2024,1,Ballari,Amla (Indian Gooseberry),70.88,74.95,71.69
2024,1,Ballari,Banana,65.8,73.84,70.62
2024,1,Ballari,Beetroot,21.29,26.13,23.12
2024,1,Ballari,Bitter Gourd,29.05,34.52,31.29
2024,1,Ballari,Blackgram (Urad),24.32,31.46,28.19
2024,1,Ballari,Bottle Gourd,17.91,22.11,20.97
2024,1,Ballari,Brinjal (Eggplant),41,47.63,43.69
2024,1,Ballari,Cabbage,22.17,26.71,22.82
2024,1,Ballari,Capsicum (Bell Pepper),46.56,54.35,49.64
2024,1,Ballari,Carrot,33.37,42.27,37.46
2024,1,Ballari,Cauliflower,54.28,56.76,55.15
2024,1,Ballari,Chickpea (Bengal gram),26.37,30.36,29.95
2024,1,Ballari,Chilli,24.83,31.24,26.4
2024,1,Ballari,Coriander,33.64,39.5,36.81
2024,1,Ballari,Cotton,1.09,9.3,5.29
2024,1,Ballari,Cucumber,33.07,39.59,36.98
2024,1,Ballari,French Beans,24.62,31.7,28.07
2024,1,Ballari,Grapes,49.33,55.04,53.58
2024,1,Ballari,Green Peas,18.88,27.05,23.79
2024,1,Ballari,Greengram (Moong),25.16,30.38,27.07
2024,1,Ballari,Groundnut,37.74,44.74,40.49
2024,1,Ballari,Guava,32.39,39.73,35.13
2024,1,Ballari,Jackfruit,41.54,49.2,44.93
2024,1,Ballari,Maize,31.09,34.31,33.4
2024,1,Ballari,Mango,52.27,58.83,54.93
2024,1,Ballari,Muskmelon,23.3,26.38,24.42
2024,1,Ballari,Mustard,33.16,35.18,34.9
2024,1,Ballari,Okra (Bhindi),28.64,33.64,31.46
2024,1,Ballari,Onion,19.3,21.92,19.39
2024,1,Ballari,Papaya,32.94,38.63,36.95
2024,1,Ballari,Pearl Millet (Bajra),32.54,38.25,36.77
2024,1,Ballari,Pigeonpea (Tur),41.93,47.03,42.88
2024,1,Ballari,Pomegranate,74.05,80.9,77.09
