city,crop,season,soil_type,soil_ph,organic_carbon_pct,sand_pct,silt_pct,clay_pct,irrigation,fertilizer_used,fertilizer_type,N_req_kg_ha,P2O5_req_kg_ha,K2O_req_kg_ha,alt_crops,Type
Vijayapura,Groundnut,Rabi,Sandy loam,7.2,0.83,68,15,17,Rainfed,Urea + SSP + MOP,Inorganic,18,42,20,Chickpea (Bengal gram); Blackgram (Urad); Greengram (Moong),Oilseed
Raichur,Tomato,Kharif,Alluvial (coastal),7.2,1.04,42,42,16,Irrigated,Urea + SSP + MOP,Inorganic,150,69,72,Capsicum (Bell Pepper); Brinjal (Eggplant); Guava,Vegetable
Chikkamagaluru,Maize,Kharif,Red loam,5.9,0.76,64,14,22,Irrigated,Urea + DAP + MOP,Inorganic,146,68,38,Tomato; Capsicum (Bell Pepper); Rice (Paddy); Brinjal (Eggplant),Cereal
Shivamogga,Tomato,Kharif,Alluvial (coastal),6.4,0.84,35,53,12,Irrigated,Urea + DAP + MOP,Inorganic,163,68,77,Capsicum (Bell Pepper); Brinjal (Eggplant); Guava,Vegetable
Mysuru,Potato,Kharif,Black clayey,8.0,0.77,13,39,48,Irrigated,Green manure (Sunnhemp) + FYM,Organic,195,83,121,Tomato (Hybrid High-Demand); Guava; Sugarcane,Vegetable
Ramanagara,Chickpea (Bengal gram),Rabi,Red loam,6.1,1.07,52,31,17,Rainfed,CAN + DAP + MOP,Inorganic,19,50,19,Groundnut; French Beans; Green Peas,Pulse
Bagalkote,Maize,Summer,Red loam,6.3,0.68,66,20,14,Rainfed,Vermicompost + Neem cake,Organic,158,72,41,Tomato; Capsicum (Bell Pepper); Rice (Paddy); Brinjal (Eggplant),Cereal
Kodagu (Madikeri),Sesame,Rabi,Alluvial (coastal),6.7,1.13,36,43,21,Irrigated,CAN + DAP + MOP,Inorganic,26,24,0,Greengram (Moong); Blackgram (Urad); Pigeonpea (Tur),Oilseed
Shivamogga,Cotton,Summer,Red sandy loam,6.6,0.82,63,25,12,Rainfed,FYM + Rock phosphate + Wood ash,Organic,84,47,44,Muskmelon; Sorghum (Jowar); Okra (Bhindi),Cash crop
Bidar,Mustard,Rabi,Sandy loam,6.4,0.96,54,27,19,Irrigated,15-15-15 + Urea,Inorganic,79,36,37,Okra (Bhindi); Cotton; Pumpkin,Oilseed
Hubballi-Dharwad,Onion,Rabi,Red sandy loam,6.5,0.59,48,42,10,Rainfed,Vermicompost + Neem cake,Organic,136,52,114,Amla (Indian Gooseberry); Papaya; Capsicum (Bell Pepper),Vegetable
Mysuru,Maize,Summer,Alluvial (coastal),7.5,0.5,53,30,17,Irrigated,CAN + DAP + MOP,Inorganic,164,82,43,Tomato; Capsicum (Bell Pepper); Rice (Paddy); Brinjal (Eggplant),Cereal
Kolar,Mustard,Rabi,Red loam,5.7,0.67,51,34,15,Rainfed,15-15-15 + Urea,Inorganic,77,40,42,Okra (Bhindi); Cotton; Pumpkin; Bottle Gourd,Oilseed
Gadag,Maize,Kharif,Sandy loam,6.3,1.02,54,23,23,Irrigated,FYM + Urea (split) + MOP,Mixed,145,72,37,Tomato; Capsicum (Bell Pepper); Rice (Paddy),Cereal
Davanagere,Pearl Millet (Bajra),Summer,Black clayey,7.3,1.1,24,26,50,Rainfed,Vermicompost + Neem cake,Organic,64,30,20,Ragi (Finger Millet); Coriander; Bottle Gourd; Ridge Gourd,Cereal
Ballari,Chilli,Kharif,Lateritic,5.9,0.54,47,34,19,Irrigated,15-15-15 + Urea,Inorganic,114,57,58,Cauliflower; Cabbage; Brinjal (Eggplant),Vegetable
Koppal,Soybean,Rabi,Lateritic,6.3,0.78,47,34,19,Irrigated,Urea + SSP + MOP,Inorganic,20,64,42,Green Peas; French Beans; Chickpea (Bengal gram),Oilseed
Hassan,Pearl Millet (Bajra),Summer,Black clayey,8.1,0.81,17,24,59,Rainfed,FYM (Farmyard Manure),Organic,60,33,21,Ragi (Finger Millet); Coriander; Bottle Gourd,Cereal
Gadag,Blackgram (Urad),Rabi,Sandy loam,6.5,1.06,51,28,21,Irrigated,12-32-16 + Urea + MOP,Inorganic,19,39,0,Greengram (Moong); Pigeonpea (Tur); Sesame; Groundnut,Pulse
Mangaluru,Cotton,Kharif,Red sandy loam,6.9,0.84,68,21,11,Rainfed,Urea + DAP + MOP,Inorganic,98,42,43,Muskmelon; Sorghum (Jowar); Okra (Bhindi); Watermelon,Cash crop
Uttara Kannada (Karwar),Tomato,Kharif,Black clayey,7.8,1.04,17,27,56,Irrigated,20-20-0 + Urea,Inorganic,148,68,78,Capsicum (Bell Pepper); Brinjal (Eggplant); Guava; Maize,Vegetable
Bagalkote,Sorghum (Jowar),Summer,Alluvial (coastal),7.6,0.56,51,39,10,Irrigated,20-20-0 + Urea,Inorganic,110,48,37,Muskmelon; Cotton; Watermelon,Cereal
Hassan,Potato,Rabi,Lateritic,6.2,1.16,45,31,24,Irrigated,Urea + SSP + MOP,Inorganic,178,94,128,Tomato (Hybrid High-Demand); Guava; Sugarcane; Amla (Indian Gooseberry),Vegetable
Chikkaballapura,Pearl Millet (Bajra),Kharif,Red sandy loam,5.6,0.41,64,20,16,Rainfed,12-32-16 + Urea + MOP,Inorganic,58,31,20,Ragi (Finger Millet); Coriander; Bottle Gourd,Cereal
Ballari,Sugarcane,Rabi,Alluvial (coastal),6.9,0.96,35,43,22,Irrigated,Urea + DAP + MOP,Inorganic,243,91,116,Potato; Tomato (Hybrid High-Demand); Sapota (Chikoo),Cash crop
Bagalkote,Sugarcane,Rabi,Alluvial (coastal),7.7,1.19,44,35,21,Irrigated,12-32-16 + Urea + MOP,Inorganic,246,93,121,Potato; Tomato (Hybrid High-Demand); Sapota (Chikoo),Cash crop
Belagavi,Sunflower,Rabi,Alluvial (coastal),6.8,1.02,49,31,20,Irrigated,Vermicompost + Neem cake,Organic,57,54,43,Bitter Gourd; Pumpkin; Ridge Gourd; Bottle Gourd,Oilseed
Hubballi-Dharwad,Mustard,Rabi,Lateritic,6.0,0.62,50,26,24,Irrigated,15-15-15 + Urea,Inorganic,86,41,43,Okra (Bhindi); Cotton; Pumpkin,Oilseed
